5-fold-cv-standalone-test
/data3/shcho/bci_ai/datasets/acrobat/features/resnet50_finetune2/train/acrobat.csv /data3/shcho/bci_ai/datasets/acrobat/features/resnet50_finetune2/train/1/213_HER2_train.csv
Intermediate training files already exist : temp_train_resnet50_finetune2. Skipping creation.
Creating intermediate testing files : temp_test_resnet50_finetune2
Starting CV fold 0.

 Testing bag [42/96] bag loss: 1.4240
 Testing bag [43/96] bag loss: 1.7145
 Testing bag [44/96] bag loss: 0.9861
 Testing bag [45/96] bag loss: 1.1792
 Testing bag [46/96] bag loss: 1.6623
 Testing bag [47/96] bag loss: 3.7107
 Testing bag [48/96] bag loss: 1.0936
 Testing bag [49/96] bag loss: 1.5589
 Testing bag [50/96] bag loss: 1.1760
 Testing bag [51/96] bag loss: 1.7517
 Testing bag [52/96] bag loss: 1.3039
 Testing bag [53/96] bag loss: 1.2860
 Testing bag [54/96] bag loss: 2.0875
 Testing bag [55/96] bag loss: 0.9881
 Testing bag [56/96] bag loss: 1.4510
 Testing bag [57/96] bag loss: 2.9582
 Testing bag [58/96] bag loss: 1.1697
 Testing bag [59/96] bag loss: 1.1944
 Testing bag [60/96] bag loss: 1.1419
 Testing bag [61/96] bag loss: 1.3733
 Testing bag [62/96] bag loss: 1.6705
 Testing bag [63/96] bag loss: 1.3914
 Testing bag [64/96] bag loss: 1.4269
 Testing bag [65/96] bag loss: 1.6093
 Testing bag [66/96] bag loss: 1.0546
 Testing bag [67/96] bag loss: 1.2562
 Testing bag [68/96] bag loss: 2.3709
 Testing bag [69/96] bag loss: 1.2163
 Testing bag [70/96] bag loss: 2.6449
 Testing bag [71/96] bag loss: 1.7190
 Testing bag [72/96] bag loss: 1.3419
 Testing bag [73/96] bag loss: 2.8204
 Testing bag [74/96] bag loss: 1.0975
 Testing bag [75/96] bag loss: 1.6032
 Testing bag [76/96] bag loss: 1.3911
 Testing bag [77/96] bag loss: 1.2332
 Testing bag [78/96] bag loss: 1.4346
 Testing bag [79/96] bag loss: 2.1540
 Testing bag [80/96] bag loss: 1.0460
 Testing bag [81/96] bag loss: 1.3898
 Testing bag [82/96] bag loss: 1.2598
 Testing bag [83/96] bag loss: 1.2783
 Testing bag [84/96] bag loss: 0.9011
 Testing bag [85/96] bag loss: 1.2416
 Testing bag [86/96] bag loss: 2.2905
 Testing bag [87/96] bag loss: 2.4471
 Testing bag [88/96] bag loss: 1.4805
 Testing bag [89/96] bag loss: 1.1781
 Testing bag [90/96] bag loss: 1.5577
 Testing bag [91/96] bag loss: 1.4561
 Testing bag [92/96] bag loss: 1.4077
 Testing bag [93/96] bag loss: 2.2453
 Testing bag [94/96] bag loss: 0.8687
 Testing bag [95/96] bag loss: 2.8838
 Testing bag [96/96] bag loss: 1.3094
ROC Curve saved at : /data3/shcho/bci_ai/test/resnet50_finetune2/roc_curve_valid_0.png


 Epoch [2/50] train loss: 4.7202 test loss: 1.5595, average Acc: 0.7083, 
	AUC: [class 0] 0.5641	[class 1] 0.6222	[class 2] 0.9241	[class 3] 0.5102
	Best model saved at: /data3/shcho/bci_ai/weights/20241104/fold_0_285.pth
	Best thresholds -> [class 0] 0.6076	[class 1] 0.5555	[class 2] 0.7447	[class 3] 0.5116

 Training bag [1/381] bag loss: 4.7141
 Training bag [11/381] bag loss: 4.7420
 Training bag [21/381] bag loss: 4.7101
 Training bag [31/381] bag loss: 4.7253
 Training bag [41/381] bag loss: 4.7256
 Training bag [51/381] bag loss: 4.7153
 Training bag [61/381] bag loss: 4.7161
 Training bag [71/381] bag loss: 4.7114
 Training bag [81/381] bag loss: 4.7065
 Training bag [91/381] bag loss: 4.7186
 Training bag [101/381] bag loss: 4.7101
 Training bag [111/381] bag loss: 4.7256
 Training bag [121/381] bag loss: 4.7207
 Training bag [131/381] bag loss: 4.7025
 Training bag [141/381] bag loss: 4.7083
 Training bag [151/381] bag loss: 4.7137
 Training bag [161/381] bag loss: 4.7073
 Training bag [171/381] bag loss: 4.7083
 Training bag [181/381] bag loss: 4.7124
 Training bag [191/381] bag loss: 4.6993
 Training bag [201/381] bag loss: 4.7176
 Training bag [211/381] bag loss: 4.7002
 Training bag [221/381] bag loss: 4.7243
 Training bag [231/381] bag loss: 4.7177
 Training bag [241/381] bag loss: 4.7040
 Training bag [251/381] bag loss: 4.7023
 Training bag [261/381] bag loss: 4.7112
 Training bag [271/381] bag loss: 4.7147
 Training bag [281/381] bag loss: 4.7204
 Training bag [291/381] bag loss: 4.7108
 Training bag [301/381] bag loss: 4.7132
 Training bag [311/381] bag loss: 4.7108
 Training bag [321/381] bag loss: 4.6998
 Training bag [331/381] bag loss: 4.7026
 Training bag [341/381] bag loss: 4.7037
 Training bag [351/381] bag loss: 4.7093
 Training bag [361/381] bag loss: 4.7090
 Training bag [371/381] bag loss: 4.7038
